d (Mpc),y (Mpc)
-364.67569279413095,-81.97604091424665
-341.5757565150444,-77.04321944235942
-321.091250125496,-73.75508595741522
-327.3040859517604,-74.70934658509798
-321.35572108412373,-73.44596255432901
-374.30696089331565,-85.31808076040338
-334.4988067275139,-79.50058235379392
-322.7455223255981,-76.29459123000926
-279.20320897719137,-65.56818073559702
-318.3335376524828,-73.73058166685745
-280.2901857826257,-65.5223278297837
-334.64090226895206,-76.51712839404124
-330.22772323735774,-78.88127622430112
-317.82613474788593,-77.4243363076578
-202.38742902472035,-49.68614154209946
-339.5407213617388,-83.47822566789667
-333.12777278716044,-81.24587828032247
-331.61027509751744,-80.65932584319836
-336.1528874480295,-92.08415155282968
-334.33161017878854,-91.92003339711944
-329.3480475603783,-90.56903915979261
-341.1480135639804,-94.50356286235683
-333.70408557095607,-92.27250476460955
-343.59252886623517,-96.9620390880573
-307.37266855634437,-87.26351422859175
-285.06821891640715,-80.58839755409753
-326.62358741350977,-92.52993367243234
-340.8264915500955,-93.12202407886646
-339.9453540662891,-91.16981853706083
-317.15686713571426,-89.2703643968622
-319.1198313165542,-89.57168138113755
-336.5987106102385,-94.44309978965445
-333.411921895617,-94.27507616829614
-319.8318287413071,-89.95126586114459
-335.40623836549406,-94.7902721166823
-333.5690861509393,-88.30892698988949
-337.57475544179584,-89.24588702699991
-309.19469445275985,-86.26775572470024
-185.88151815163087,-49.01119290935461
-280.3902669803644,-72.99842643109618
-315.64885301947044,-87.52476498037798
-307.8066062344373,-84.96985351727659
-322.01298957129615,-88.4741310041277
-318.6670725141825,-88.36379884997213
-324.31247102528584,-89.75202789921629
-312.25122475910774,-86.31512111564359
-321.4041314800488,-87.7012911091753
-320.303296088304,-86.97586349053321
-318.72408738077087,-84.3531239338902
-319.43863721925385,-83.95010459232209
-318.03004150264314,-83.92841417325762
-284.121676109608,-73.92773347938962
-318.96267421225787,-83.07632823574203
-280.2328638842016,-70.34597596978121
-330.74964967311587,-78.27669542667802
-337.19194104144094,-80.00336650341742
-330.7650540803368,-77.73022770282326
-185.46027747423224,-44.6551799468128
-331.01686487213834,-81.93179038040691
-331.7655394357418,-82.52038932035937
-277.55356581843984,-64.57887997574709
-279.4159085273349,-65.64729035088195
-320.7522216684787,-81.36465647821463
-327.15858053437705,-82.73252827069166
-318.98140507513386,-77.63812811064125
-344.7677735656947,-88.39349826578766
-322.9729764991505,-83.4807600922581
-329.44947072882184,-84.70403285189856
-343.7622569130741,-88.79562764733474
-329.8458448164276,-85.11971929372727
-330.19749226993554,-83.89785542510458
-322.4112843101242,-83.27074132026947
-319.5733731657216,-83.42477039208237
-316.1323276006348,-82.42507992078671
-346.3593832428047,-90.43894717919129
-319.26814645793473,-83.48283145695667
-330.5031318801063,-86.36191750141217
-320.0393006532585,-83.79591619097063
-325.0325188850765,-84.33215985227801
-335.81068485294685,-87.95653599506713
-329.36930376285386,-86.69841651651029
-323.35103144993417,-85.79364018450104
-328.71260081549485,-87.13816337691196
-329.8081178698511,-87.65067429997725
-327.28455448526097,-86.72238838610153
-321.87933830287193,-85.73401539612338
-316.4726854428147,-82.8791423215405
-313.8819575247079,-82.69581806365515
-335.299286644408,-87.71026038321853
-317.7797187567688,-83.26885389085176
-323.8649149951169,-87.6728911815999
-341.88176947660685,-92.28640597831946
-338.4702027540144,-91.51444517229874
-330.5347057670503,-89.17713726761743
-326.4439126231634,-86.66946734866738
-304.938107756834,-83.64335785229257
-324.46218175759446,-88.2369218129414
-324.5348097503176,-88.86924126323626
-321.31195145772045,-90.65677622155782
-335.2451339411579,-93.98128998512018
-327.05526989947623,-91.20905402625763
-323.38030817988977,-92.38772948946355
-289.34271557805687,-89.0139137377758
-331.67210002463486,-97.44748310428976
-314.2334098890184,-95.48018952038433
-314.1891756602706,-95.53103140493111
-334.753070911286,-96.62060389449762
-286.51939207311875,-83.16882524025924
-290.13181335848805,-84.52638339553555
-374.2951698364679,-112.72323030871397
-313.25853331087376,-94.74453851198032
-346.780734102962,-98.74311631594375
-282.07738731645077,-80.61408576950083
-328.6370821153375,-94.07979130726092
-332.5499960867682,-95.67591407188121
-336.5026808368345,-96.55277821098157
-336.6786415623179,-99.69824791983969
-315.36519152635077,-93.04803515040938
-332.78110226281194,-98.90174072071522
-310.3021342932712,-90.01858521466502
-316.2755010606133,-91.48851300852021
-314.26171653174674,-89.72003482620408
-318.07239731113265,-90.88311452020776
-326.8632765420584,-90.35107572524194
-331.00129506135124,-93.53187768678922
-306.4275609848619,-87.1204077401703
-320.5291011173997,-91.28218081210116
-336.01716816424243,-93.5775145656242
-339.5416352485344,-94.37958667104509
-338.3717408394227,-93.86846450942664
-324.37142569214876,-89.70076865982375
-262.3762077250541,-73.56951749745066
-303.88323270345876,-85.19704422344111
-328.7921225119263,-89.16859241248528
-282.96393436475427,-77.65042748965641
-323.68274999210604,-88.43676416814489
-329.6269249334982,-90.40883175330272
-320.7821474666729,-87.80952606244018
-374.63554342688866,-105.71085478942561
-316.807824479538,-88.63980944410123
-330.72870767606895,-89.50220091961778
-314.805297774469,-85.45853418739843
-331.7983613067389,-91.12912772831265
-320.60203270960534,-92.43171330615431
-323.33351103625,-92.8175501385097
-325.164586426372,-90.62293265987212
-322.37259948235703,-90.4444970565535
-312.3942043468216,-86.31962653679827
-330.49270306327065,-95.96481820936967
-323.2709646304331,-91.15532447087756
-327.87913057365773,-92.26905794592857
-320.71340985928737,-90.10683532462708
-346.2443518699665,-102.71070697393546
-330.88069360145766,-97.26519211868201
-330.35167097014863,-95.17054618746332
-333.6873687805043,-97.11660066131513
-323.1619785495097,-93.81869089461433
-316.733639767717,-92.5901275114142
-321.5460917667929,-94.43725770046304
-321.94531422505213,-94.04023513869284
-340.2470083577386,-100.59308943231848
-326.8763877803512,-96.3841946242527
-323.3495084011619,-96.93430125177667
-330.0866028479174,-98.80557690737146
-327.4740582521929,-98.19957232959386
-327.8491680401865,-101.3629590393602
-298.8300133651324,-90.88949862026756
-331.38519003455986,-100.25248220140143
-307.6593939706784,-93.12623692883498
-311.5028198487382,-96.08845612669835
-326.74442224641695,-101.7299617217904
-316.18764898427753,-98.4749308504792
-322.3428401486369,-99.44653037706478
-327.8365870012791,-101.59032381836037
-307.87894294206086,-96.34453636105496
-182.51440558208557,-63.59066000890669
-316.7231779359819,-111.40382745112207
-319.81435518311935,-112.50938658028741
-324.52388210131613,-110.36994760713598
-320.3511699541554,-110.4362985357934
-251.38509763703448,-84.14608605809842
-289.1634046183082,-99.27672249316394
-267.1112614862725,-88.0505004611598
-251.74708848295137,-82.80734348022844
-321.13378377713946,-104.21399312903178
-317.2178016019911,-98.40709522261562
-312.99397216977644,-95.11357241751364
-313.90228884471384,-96.83281048203636
-370.4979712550133,-113.96641909182303
-328.2512994820777,-100.68400348967366
-328.4000577096062,-101.30299201368273
-317.9903663632421,-98.78318370139571
-325.98141892115456,-103.3214567320863
-320.0234239991195,-99.85747085359694
-310.65403133644446,-99.01280851353509
-313.7506844006627,-102.52412450756252
-372.2384322837724,-120.70725262366072
-317.9515746553898,-102.97642153751899
-244.76715925780374,-78.99320585795262
-312.7069333777434,-102.31468050126118
-311.265060655498,-105.19580440863271
-315.50937094887286,-106.07064706098019
-314.3212252902953,-108.40578795090767
-327.6920003864048,-111.41459895450244
-324.43024671719047,-110.83765808292067
-324.9900224361638,-110.85098209651916
-182.12496963279108,-62.74410477015432
-311.83086684514035,-109.08789847611159
-365.4893960484708,-140.43249704781155
-295.77177446876783,-113.90942168901647
-296.05185077774655,-113.31207034272902
-369.31219521085404,-141.68427442213485
-328.20553221867834,-127.03935925932382
-368.3783742019361,-141.49510406453027
-319.64943054544835,-122.23769130267884
-297.53805217461513,-114.06218531103028
-335.4253878579675,-126.64935695329002
-348.01753598896073,-133.09647927418325
-367.4621963212614,-139.4566166737894
-284.44499381582864,-108.68491312631066
-340.04701616287304,-128.630655094012
-340.9188400688611,-129.10595875098105
-327.14781113842594,-122.3287489819141
-326.0999247775178,-122.25356221364082
-343.49385103826876,-129.44418132541648
-264.4250275787644,-98.80307606013896
-316.99352843018323,-117.73506029790386
-373.91463443338563,-140.33486387398798
-264.7679555986728,-99.34685218855479
-322.66117078070164,-120.89013519530371
-368.0655835982212,-135.98000313997127
-323.5752696050132,-115.06310161042771
-182.96460163636007,-65.83422416208774
-326.022990683544,-117.39849821068717
-306.98050829680614,-111.29016665663046
-302.7296029296183,-110.09047781946653
-366.2750797654481,-134.03359789902913
-290.95887236105256,-106.97426613977714
-251.11603266334416,-92.26037025308449
-313.42562940432185,-115.72301635145715
-321.39267870027084,-118.65778554285927
-312.210202034748,-114.44518179707997
-374.52335243098685,-139.61802964521524
-306.38778733299154,-113.68959138580243
-317.3831484305192,-119.28940268677877
-314.9239364517321,-118.58236212738277
-334.06921763379097,-125.74541387862169
-372.24881332229455,-138.902156308579
-322.9394072013504,-120.1419383897382
-316.48232918324095,-118.52468877234423
-314.3329656791035,-117.59859342677078
-323.45264864149505,-122.2646138954528
-318.21911695743916,-120.0121444280104
-320.59357195620316,-121.51820818964018
-320.2095803482023,-120.98406063946338
-315.26283553099336,-118.24919324668588
-322.04664236774664,-120.7403596553894
-313.6440404694505,-119.4148368689467
-312.4683491712596,-119.65870979227067
-314.8756504975181,-120.35090214122829
-320.6037228853946,-121.96558835909981
-310.88137286234024,-118.75512849001962
-301.8344032077939,-115.92967082274785
-318.9028083418552,-122.35082518882405
-177.87726134312337,-266.56848510443365
-178.92490010878322,-265.9762225486718
-175.01948721652667,-262.9192893351532
-202.35829762196883,-269.3479255612874
-205.87169912691294,-274.0985184992458
-199.64972814314174,-265.11742969062624
-205.8749869298932,-273.5767838664702
-205.81233158405206,-272.16535486935203
-189.41882381788486,-248.1196257543129
-212.0462540598067,-279.1435746291305
-187.65542589555213,-245.78751924125928
-202.1249831386031,-263.48536694601944
-201.09330077970688,-262.4368790661978
-209.89485960854736,-274.6208031711759
-209.25011551206705,-273.5001087506483
-207.83564718464493,-269.9466085544048
-215.15567432451772,-280.281075399329
-229.96331165969264,-299.56689200725145
-214.4755850904433,-279.58979103618
-185.07776396367888,-241.64750892012194
-217.74684132331652,-281.57960574529824
-210.90064796526514,-278.00031624118066
-225.2052636712827,-296.06881326581464
-197.13724311603474,-260.6186921563012
-209.72253214482268,-279.21795378111653
-175.17843540609385,-233.04595550055092
-175.19252481825527,-232.55005374900048
-205.73922047014824,-280.58595773127064
-195.62503728493112,-265.09762991848226
-175.98302276508792,191.09701397631466
-179.19412352113014,196.11182665578016
-182.7810574861421,194.92810105205126
-194.96825237556604,199.8408350838888
-208.42499802469075,191.52191497645546
-202.23088623091232,199.2356361638121
-206.67261837021343,190.73431723245125
-212.49624744642952,191.25841068890526
-204.4299462099595,194.81299384403064
-227.91305389635357,193.23296631050326
-212.50113785462773,186.70930909657702
-213.83319669117438,186.03673419633236
-211.94840070669375,188.23076495322147
-208.89088238287604,191.964647213476
-205.78359260975182,189.7129876414933
-209.86511904507597,190.38099691877377
-210.85461027532398,184.0014603410638
-177.79134260130775,143.73906971466275
-219.8444156397302,178.9542402217197
-226.69907933478908,173.72780342459941
-227.44022350562835,173.4589727097815
-225.10301655164915,173.16110914533544
-229.84420048332333,176.98406283768568
-220.81121696464052,170.06719904042657
-225.7140577365814,176.3549056709945
-225.63823882054137,177.45198976736947
-182.4104947826254,149.3690923047742
-175.9218619418955,144.64669060676056
-175.5211325534767,144.47965219442167
-216.43083642644842,181.21132094049074
-221.5529597733547,178.63010999128682
-230.1266247962759,186.85371002686907
-175.16639749200093,138.9154145305104
-236.05365923601812,184.10329055962185
-223.35468590739612,175.835355037325
-230.07453326207383,176.17717728516774
-228.06499626780914,174.76011349369793
-192.629615896076,143.83364553180468
-235.5785847896619,174.7693100875708
-232.7207739749066,175.82555810917324
-235.3851733143772,178.06759310149542
-186.35825614352774,140.9038319667979
-236.7706494122212,183.9946846461371
-236.0075103928857,183.26537619816315
-186.64982273191777,145.81296192342253
-181.47487800049186,144.74047224936803
-268.595418165298,199.89107555634695
-201.31251269671236,151.40923697235058
-233.61991263219386,175.8322507327744
-235.6977152179704,178.16930964849433
-198.5877376619409,144.43128655396592
-266.6275895745271,194.7530510854441
-205.9019744490204,143.91975097334037
-205.4081588308751,143.59285083596802
-205.78652122336445,142.11751323204106
-193.8359423470904,139.04488547545063
-231.22195691078574,167.3127807377522
-237.48351563348345,172.71709965736264
-197.75484670226484,138.7914068829477
-201.36495263404674,137.60784384849737
-249.4214766489811,158.9282634441837
-303.0885112159149,191.21693413588642
-203.70046927377373,137.08250264161438
-285.81088355198926,192.31585483881486
-203.6606763305621,136.98541728869714
-288.6831852839745,193.60800283013202
-290.58879513894124,198.75471779795816
-201.08691909111997,133.16194303019725
-201.70326428223277,133.56326922195024
-197.73481834247957,130.65610101242933
-288.51574617385467,192.97451220780374
-195.99995402118194,128.75711793884182
-315.0800619049744,187.93746721685142
-323.9192396470118,199.78653907044745
-218.91838152968714,136.07755736459484
-219.3604924743987,137.31050195885732
-233.97621927014228,150.41013792927896
-212.09743952464834,138.64276540409145
-233.54811878877155,145.93622373300153
-175.8236468819781,109.67753704205745
-244.31214483135264,153.41083836279984
-325.399004142735,185.20074458909903
-321.7928346149905,183.16019361926928
-342.17149299008156,193.50172393857312
-340.81303246266583,193.9190160661837
-291.17914859689927,169.71436404066853
-282.89562656555125,165.19573050601068
-297.9160199589199,177.51858486436728
-295.84994528004023,177.98492492657317
-304.1410507679188,185.03956100388916
-319.98601372638507,191.5489048101798
-322.638691619886,193.53512015731124
-320.1562466432287,191.61718796853873
-316.2852685097677,188.5814923036375
-312.9536325727062,186.68614801868657
-217.03994788035374,131.0056856174559
-273.53681055538,164.28155689557022
-319.19990883741923,190.02373288223563
-315.7903883779008,185.76054164547574
-318.57530424614635,187.81372974176304
-274.02483471786474,158.12321047570853
-275.5795855819433,160.50438395520425
-273.8094248398909,157.73774127577366
-321.50588703723827,184.94243550915456
-343.25908555639114,190.2048766121661
-228.46345704999968,125.95007833193367
-355.6417853193674,199.66147539739163
-345.0916798627154,195.6299320423081
-351.48381204279497,196.87743893533792
-337.9602494658205,189.73374539170786
-324.7412086841532,184.79366796818738
-298.96124301790013,170.27642929772298
-284.0440326045155,165.8318999421036
-275.9551672444622,161.2276524093874
-341.20014715619277,198.1237152678951
-197.29227440092782,115.24497063909234
-271.7307537351455,157.02847825833226
-275.16016430469404,160.32086021743964
-320.30457375163166,182.13738289646867
-252.18860589615832,144.35891079395515
-297.3207720167149,165.8787802419742
-360.24139037525504,199.53336089233153
-355.60812525122003,198.00377405020032
-284.82609368932447,156.14307638523786
-343.6157945499961,188.89467307829992
-328.7877722547476,179.8758157925856
-333.15035182612957,175.94496291817768
-211.24871121419457,112.02696297687112
-259.74302367350595,127.79841883021587
-374.45895865178977,189.3843017802488
-340.9029321974204,170.49908061361816
-338.4817989778305,170.92395560456612
-313.0359123761131,158.40510211345577
-255.744563012239,128.355144041826
-336.80279003235296,174.07890235004757
-288.7755943952069,148.81770660129325
-337.82771612229374,173.58412197994846
-357.2592631417908,185.13154366621058
-332.5820296141636,172.07276283318345
-363.0884833147578,188.04055917906624
-357.4860370690469,188.02603537668324
-359.4501393304533,191.438760655282
-357.645892829444,191.28639199809533
-358.54260795116477,190.71364816002847
-344.05044367576636,182.39413293850006
-331.87257765975335,179.61332123811837
-255.34279422160145,135.06089440953212
-335.4493083341491,173.8393750394617
-337.0258243264617,174.4777819409607
-358.2213641815448,186.3125465363722
-334.9138680823949,173.69492239373605
-334.60701652116194,173.68890712987536
-285.52120169094934,145.90744531545093
-341.4927957681224,172.82105109891603
-334.89281589843733,170.68024508812638
-345.3457658369341,168.63540652088557
-344.4553506909057,168.12186408307946
-358.1853063250813,159.48374602046147
-358.4697642445108,158.76312394941306
-267.0911471660482,121.11126658905467
-265.01745967962466,118.98145028599531
-259.83113090019145,119.88153431435555
-340.9596966370474,156.20120826219753
-355.57793052520884,162.46042735542963
-268.0177407543914,122.90140741486792
-266.3605390405659,123.06359871562806
-241.47142743830918,112.24270144958074
-339.8804783337105,157.5009817144029
-349.63669197203836,163.74530472042986
-263.65192616730076,124.68394906758546
-266.8146827602435,126.10912717536452
-264.2303064487956,125.51961577696088
-283.61581910196605,136.75138538216746
-283.1412315654498,136.79876269503544
-363.41815340640403,177.8623916110446
-278.9769677161844,135.8602189157454
-343.92683281304915,167.9880133545225
-175.8739253668379,85.13801181866732
-367.5958975268729,175.71050653914477
-368.7660940889733,176.48936206583298
-367.70072687895527,176.38365028467598
-367.1363299460514,176.772073180132
-364.73316453579304,175.20116822742597
-350.8761811966343,165.586113819534
-351.24057013389825,164.47975575189793
-360.42532361475827,168.82706992375492
-270.44938273072063,125.11674752021604
-266.46375274160613,122.35186467590111
-266.68036984514674,123.96299573663464
-226.1065628393129,104.81280473162582
-275.69491439155644,128.1884933975831
-357.66254672965545,163.38306676815398
-259.9813181305177,118.8031181601022
-262.88258880306074,119.30533153558721
-228.88598789811994,104.51478232556894
-282.0481228185335,129.48975507174833
-263.6485645560192,118.73334230633169
-267.5730843719521,121.19369444282471
-233.44041767540958,103.6237035552416
-232.01018843310487,103.66100554016397
-191.2660542381191,78.45033115523866
-331.34706388463076,138.4284785489297
-267.9720346318988,112.06997112949841
-356.23901069533866,148.82923498125552
-355.0022916569841,148.00253927660586
-359.83640030125446,150.23224193816444
-367.09342360030547,158.5537888064992
-336.7476005018615,143.037661219325
-363.7707109263846,156.62841531605238
-295.94996065303263,127.95816562666467
-361.2363897577297,157.24227646812835
-346.58655217349184,151.68496716467547
-338.0712845626271,148.0131635198166
-294.85304017404064,129.7148271207047
-339.9568247156606,149.13514777953347
-352.5013674805768,156.60041563107347
-337.87099258328914,150.44058237638424
-255.67224678633866,115.80412354559986
-262.7736919348369,119.91137302417465
-301.9484882634452,134.248108771837
-329.58383760916075,144.41039339921167
-235.5490903445933,102.9630923875846
-363.5171812083139,154.5576728971336
-299.2932845018195,128.0811323344452
-364.4623238423885,155.39670504095827
-361.44686423388197,153.4591930428818
-330.4047227311787,138.3407234762805
-275.5512801095572,115.11909099035486
-269.9414843542842,113.2182314733227
-270.22069903442315,112.6814885435158
-242.7369535622186,99.59646002002903
-254.0167600072859,101.45996433061023
-356.60174409435393,128.13291961856785
-272.9796176204037,99.88629525251002
