cost,publisher,university,year
88411.91,Taylor & Francis,Canterbury Christ Church University,2011
163545.0,Taylor & Francis,Cardiff University,2011
75617.3,Taylor & Francis,Cardiff Metropolitan University,2011
60822.05,Taylor & Francis,University of Central Lancashire,2011
0.0,Taylor & Francis,Central School of Speech and Drama,2011
0.0,Taylor & Francis,University of Chester,2011
20602.13,Taylor & Francis,University of Chichester,2011
79857.0,Taylor & Francis,City University London,2011
47.98,Taylor & Francis,Courtauld Institute of Art,2011
27748.34,Taylor & Francis,Coventry University,2011
62154.74,Taylor & Francis,Cranfield University,2011
14475.3,Taylor & Francis,University of Cumbria,2011
44208.24,Taylor & Francis,De Montfort University,2011
,Taylor & Francis,University of Derby,2011
90776.87,Taylor & Francis,University of Dundee,2011
176017.0,Taylor & Francis,Durham University,2011
131466.0,Taylor & Francis,University of East Anglia,2011
76567.44,Taylor & Francis,University of East London,2011
,Taylor & Francis,Edge Hill University,2011
207084.0,Taylor & Francis,University of Edinburgh,2011
39427.33,Taylor & Francis,Edinburgh Napier University,2011
,Taylor & Francis,University of Essex,2011
164341.83,Taylor & Francis,University of Exeter,2011
13720.0,Taylor & Francis,Falmouth University,2011
155447.0,Taylor & Francis,University of Glasgow,2011
113100.6,Taylor & Francis,Glasgow Caledonian University,2011
884.93,Taylor & Francis,University of Gloucestershire,2011
,Taylor & Francis,Glyndŵr University,2011
73676.43,Taylor & Francis,"Goldsmiths, University of London",2011
42.53,Taylor & Francis,University of Greenwich,2011
15300.36,Taylor & Francis,Harper Adams University,2011
28113.0,Taylor & Francis,Heriot-Watt University,2011
,Taylor & Francis,University of Hertfordshire,2011
0.0,Taylor & Francis,Heythrop College,2011
3176.73,Taylor & Francis,University of Huddersfield,2011
90017.69,Taylor & Francis,University of Hull,2011
112691.0,Taylor & Francis,Imperial College London,2011
0.0,Taylor & Francis,Institute of Cancer Research,2011
95629.0,Taylor & Francis,"Institute of Education, University of London",2011
42497.0,Taylor & Francis,Keele University,2011
1644.0,Taylor & Francis,University of Kent,2011
164930.18,Taylor & Francis,King's College London,2011
83905.12,Taylor & Francis,Kingston University,2011
99591.0,Taylor & Francis,Lancaster University,2011
,Taylor & Francis,University of Leeds,2011
966.84,Taylor & Francis,Leeds College of Art,2011
69039.59,Taylor & Francis,Leeds Beckett University (formerly Leeds Metropolitan University),2011
5719.85,Taylor & Francis,Leeds Trinity University,2011
0.0,Taylor & Francis,University of Leicester,2011
53915.0,Taylor & Francis,University of Lincoln,2011
133168.23,Taylor & Francis,University of Liverpool,2011
60015.11,Taylor & Francis,Liverpool Hope University,2011
,Taylor & Francis,Liverpool Institute for Performing Arts,2011
140959.06,Taylor & Francis,Liverpool John Moores University,2011
88979.0,Taylor & Francis,University of London (central),2011
7815.0,Taylor & Francis,London Business School,2011
,Taylor & Francis,London Metropolitan University,2011
178258.0,Taylor & Francis,London School of Economics,2011
17958.78,Taylor & Francis,London School of Hygiene and Tropical Medicine,2011
,Taylor & Francis,London South Bank University,2011
124328.0,Taylor & Francis,Loughborough University,2011
264035.34,Taylor & Francis,University of Manchester,2011
2647.75,Taylor & Francis,Manchester Metropolitan University,2011
7573.47,Taylor & Francis,Middlesex University,2011
12837.0,Taylor & Francis,Newcastle University,2011
21326.0,Taylor & Francis,Newman University,2011
34408.41,Taylor & Francis,University of Northampton,2011
138788.76,Taylor & Francis,Northumbria University,2011
0.0,Taylor & Francis,Norwich University of the Arts,2011
175906.0,Taylor & Francis,University of Nottingham,2011
,Taylor & Francis,Nottingham Trent University,2011
77606.0,Taylor & Francis,Open University,2011
88916.0,Taylor & Francis,University of Oxford,2011
175787.26,Taylor & Francis,Oxford Brookes University,2011
108026.15,Taylor & Francis,Plymouth University,2011
13815.41,Taylor & Francis,University of Portsmouth,2011
14776.09,Taylor & Francis,"Queen Margaret University, Edinburgh",2011
54510.64,Taylor & Francis,"Queen Mary, University of London",2011
194119.51,Taylor & Francis,Queen's University Belfast,2011
0.0,Taylor & Francis,Ravensbourne,2011
78490.85,Taylor & Francis,University of Reading,2011
44052.0,Taylor & Francis,Robert Gordon University,2011
70441.0,Taylor & Francis,University of Roehampton,2011
,Taylor & Francis,Rose Bruford College,2011
138.11,Taylor & Francis,Royal Academy of Music,2011
16650.47,Taylor & Francis,Royal Agricultural University,2011
75.0,Taylor & Francis,Royal College of Art,2011
,Taylor & Francis,Royal College of Music,2011
,Taylor & Francis,Royal Conservatoire of Scotland,2011
57407.0,Taylor & Francis,"Royal Holloway, University of London",2011
767.76,Taylor & Francis,Royal Northern College of Music,2011
1934.53,Taylor & Francis,Royal Veterinary College,2011
124656.44,Taylor & Francis,University of Salford,2011
22889.72,Taylor & Francis,School of Oriental and African Studies,2011
154434.22,Taylor & Francis,University of Sheffield,2011
13892.6,Taylor & Francis,Sheffield Hallam University,2011
71515.0,Taylor & Francis,University of South Wales,2011
,Taylor & Francis,University of Southampton,2011
2849.2,Taylor & Francis,Southampton Solent University,2011
0.0,Taylor & Francis,Staffordshire University,2011
,Taylor & Francis,Stranmillis Universiity College,2011
125081.42,Taylor & Francis,University of St Andrews,2011
3754.0,Taylor & Francis,St George's University of London,2011
26109.0,Taylor & Francis,University of St Mark and St John,2011
21314.0,Taylor & Francis,St Mary's University College,2011
75532.0,Taylor & Francis,University of Stirling,2011
66057.0,Taylor & Francis,University of Strathclyde,2011
0.0,Taylor & Francis,University of Sunderland,2011
10398.0,Taylor & Francis,University of Surrey,2011
90378.0,Taylor & Francis,University of Sussex,2011
101688.79,Taylor & Francis,Swansea University,2011
78826.83,Taylor & Francis,Teesside University,2011
1694.31,Taylor & Francis,Trinity Laban,2011
214731.53,Taylor & Francis,UCL,2011
68457.0,Taylor & Francis,University College Birmingham,2011
0.0,Taylor & Francis,University for the Creative Arts,2011
2500.0,Taylor & Francis,University of the Arts London,2011
0.0,Taylor & Francis,University of the Highlands and Islands,2011
132721.0,Taylor & Francis,University of the West of England,2011
65576.0,Taylor & Francis,University of the West of Scotland,2011
190554.48,Taylor & Francis,University of Ulster,2011
71498.0,Taylor & Francis,University of Wales Trinity St David,2011
290951.0,Taylor & Francis,University of Warwick,2011
0.0,Taylor & Francis,University of West London,2011
90106.0,Taylor & Francis,University of Westminster,2011
96931.22,Taylor & Francis,University of Winchester,2011
0.0,Taylor & Francis,University of Wolverhampton,2011
984.3,Taylor & Francis,University of Worcester,2011
,Taylor & Francis,Writtle College,2011
141286.0,Taylor & Francis,University of York,2011
59199.0,Taylor & Francis,York St John University,2011
,Taylor & Francis,,2011
151722.17,Taylor & Francis,University of Aberdeen,2012
0.0,Taylor & Francis,Abertay University,2012
87219.48,Taylor & Francis,Aberystwyth University,2012
64094.0,Taylor & Francis,Anglia Ruskin University,2012
3856.07,Taylor & Francis,Arts University Bournemouth,2012
0.0,Taylor & Francis,Aston University,2012
148735.2,Taylor & Francis,Bangor University,2012
134551.0,Taylor & Francis,University of Bath,2012
0.0,Taylor & Francis,Bath Spa University,2012
89517.12,Taylor & Francis,University of Bedfordshire,2012
44101.0,Taylor & Francis,"Birkbeck, University of London",2012
230348.34,Taylor & Francis,University of Birmingham,2012
820.4,Taylor & Francis,Birmingham City University,2012
27975.0,Taylor & Francis,Bishop Grosseteste University,2012
74210.14,Taylor & Francis,University of Bolton,2012
74244.0,Taylor & Francis,Bournemouth University,2012
2888.85,Taylor & Francis,University of Bradford,2012
90956.0,Taylor & Francis,University of Brighton,2012
204713.0,Taylor & Francis,University of Bristol,2012
141975.04,Taylor & Francis,Brunel University,2012
,Taylor & Francis,Buckinghamshire New University,2012
114524.0,Taylor & Francis,University of Cambridge,2012
91694.69,Taylor & Francis,Canterbury Christ Church University,2012
159410.0,Taylor & Francis,Cardiff University,2012
78314.15,Taylor & Francis,Cardiff Metropolitan University,2012
65803.9,Taylor & Francis,University of Central Lancashire,2012
0.0,Taylor & Francis,Central School of Speech and Drama,2012
0.0,Taylor & Francis,University of Chester,2012
22914.13,Taylor & Francis,University of Chichester,2012
91375.0,Taylor & Francis,City University London,2012
0.0,Taylor & Francis,Courtauld Institute of Art,2012
29307.2,Taylor & Francis,Coventry University,2012
62926.91,Taylor & Francis,Cranfield University,2012
15524.88,Taylor & Francis,University of Cumbria,2012
45593.66,Taylor & Francis,De Montfort University,2012
,Taylor & Francis,University of Derby,2012
95424.98,Taylor & Francis,University of Dundee,2012
181959.0,Taylor & Francis,Durham University,2012
132539.0,Taylor & Francis,University of East Anglia,2012
65454.83,Taylor & Francis,University of East London,2012
,Taylor & Francis,Edge Hill University,2012
234157.0,Taylor & Francis,University of Edinburgh,2012
0.0,Taylor & Francis,Edinburgh Napier University,2012
81956.66,Taylor & Francis,University of Essex,2012
165784.27,Taylor & Francis,University of Exeter,2012
15520.0,Taylor & Francis,Falmouth University,2012
166103.0,Taylor & Francis,University of Glasgow,2012
120476.64,Taylor & Francis,Glasgow Caledonian University,2012
1261.77,Taylor & Francis,University of Gloucestershire,2012
23958.0,Taylor & Francis,Glyndŵr University,2012
76478.16,Taylor & Francis,"Goldsmiths, University of London",2012
0.0,Taylor & Francis,University of Greenwich,2012
17448.64,Taylor & Francis,Harper Adams University,2012
55200.0,Taylor & Francis,Heriot-Watt University,2012
65980.02,Taylor & Francis,University of Hertfordshire,2012
0.0,Taylor & Francis,Heythrop College,2012
3192.15,Taylor & Francis,University of Huddersfield,2012
104262.59,Taylor & Francis,University of Hull,2012
113359.0,Taylor & Francis,Imperial College London,2012
0.0,Taylor & Francis,Institute of Cancer Research,2012
100327.0,Taylor & Francis,"Institute of Education, University of London",2012
45821.0,Taylor & Francis,Keele University,2012
3772.0,Taylor & Francis,University of Kent,2012
167819.65,Taylor & Francis,King's College London,2012
89129.04,Taylor & Francis,Kingston University,2012
97330.0,Taylor & Francis,Lancaster University,2012
,Taylor & Francis,University of Leeds,2012
436.7,Taylor & Francis,Leeds College of Art,2012
143803.54,Taylor & Francis,Leeds Beckett University (formerly Leeds Metropolitan University),2012
5870.78,Taylor & Francis,Leeds Trinity University,2012
0.0,Taylor & Francis,University of Leicester,2012
55494.0,Taylor & Francis,University of Lincoln,2012
118676.15,Taylor & Francis,University of Liverpool,2012
66406.75,Taylor & Francis,Liverpool Hope University,2012
,Taylor & Francis,Liverpool Institute for Performing Arts,2012
148953.66,Taylor & Francis,Liverpool John Moores University,2012
95643.0,Taylor & Francis,University of London (central),2012
8471.0,Taylor & Francis,London Business School,2012
,Taylor & Francis,London Metropolitan University,2012
185228.0,Taylor & Francis,London School of Economics,2012
18836.08,Taylor & Francis,London School of Hygiene and Tropical Medicine,2012
,Taylor & Francis,London South Bank University,2012
129403.0,Taylor & Francis,Loughborough University,2012
281297.26,Taylor & Francis,University of Manchester,2012
9218.1,Taylor & Francis,Manchester Metropolitan University,2012
10740.0,Taylor & Francis,Middlesex University,2012
13433.0,Taylor & Francis,Newcastle University,2012
21951.0,Taylor & Francis,Newman University,2012
35643.8,Taylor & Francis,University of Northampton,2012
156845.28,Taylor & Francis,Northumbria University,2012
0.0,Taylor & Francis,Norwich University of the Arts,2012
186906.7,Taylor & Francis,University of Nottingham,2012
,Taylor & Francis,Nottingham Trent University,2012
45574.0,Taylor & Francis,Open University,2012
96335.0,Taylor & Francis,University of Oxford,2012
185894.99,Taylor & Francis,Oxford Brookes University,2012
112761.46,Taylor & Francis,Plymouth University,2012
15213.95,Taylor & Francis,University of Portsmouth,2012
17274.32,Taylor & Francis,"Queen Margaret University, Edinburgh",2012
57482.12,Taylor & Francis,"Queen Mary, University of London",2012
174399.12,Taylor & Francis,Queen's University Belfast,2012
0.0,Taylor & Francis,Ravensbourne,2012
87383.57,Taylor & Francis,University of Reading,2012
46279.0,Taylor & Francis,Robert Gordon University,2012
73984.0,Taylor & Francis,University of Roehampton,2012
,Taylor & Francis,Rose Bruford College,2012
145.2,Taylor & Francis,Royal Academy of Music,2012
21776.5,Taylor & Francis,Royal Agricultural University,2012
0.0,Taylor & Francis,Royal College of Art,2012
,Taylor & Francis,Royal College of Music,2012
,Taylor & Francis,Royal Conservatoire of Scotland,2012
60818.0,Taylor & Francis,"Royal Holloway, University of London",2012
578.19,Taylor & Francis,Royal Northern College of Music,2012
1492.0,Taylor & Francis,Royal Veterinary College,2012
154818.28,Taylor & Francis,University of Salford,2012
23980.82,Taylor & Francis,School of Oriental and African Studies,2012
167691.74,Taylor & Francis,University of Sheffield,2012
0.0,Taylor & Francis,Sheffield Hallam University,2012
73572.0,Taylor & Francis,University of South Wales,2012
,Taylor & Francis,University of Southampton,2012
373.5,Taylor & Francis,Southampton Solent University,2012
0.0,Taylor & Francis,Staffordshire University,2012
,Taylor & Francis,Stranmillis Universiity College,2012
123192.91,Taylor & Francis,University of St Andrews,2012
3598.0,Taylor & Francis,St George's University of London,2012
24567.0,Taylor & Francis,University of St Mark and St John,2012
22821.0,Taylor & Francis,St Mary's University College,2012
82753.0,Taylor & Francis,University of Stirling,2012
66079.0,Taylor & Francis,University of Strathclyde,2012
0.0,Taylor & Francis,University of Sunderland,2012
17095.0,Taylor & Francis,University of Surrey,2012
97175.0,Taylor & Francis,University of Sussex,2012
109122.16,Taylor & Francis,Swansea University,2012
68507.33,Taylor & Francis,Teesside University,2012
1584.7,Taylor & Francis,Trinity Laban,2012
223962.16,Taylor & Francis,UCL,2012
70350.0,Taylor & Francis,University College Birmingham,2012
0.0,Taylor & Francis,University for the Creative Arts,2012
0.0,Taylor & Francis,University of the Arts London,2012
0.0,Taylor & Francis,University of the Highlands and Islands,2012
149384.0,Taylor & Francis,University of the West of England,2012
41579.0,Taylor & Francis,University of the West of Scotland,2012
162315.9,Taylor & Francis,University of Ulster,2012
77922.0,Taylor & Francis,University of Wales Trinity St David,2012
272180.0,Taylor & Francis,University of Warwick,2012
0.0,Taylor & Francis,University of West London,2012
94396.0,Taylor & Francis,University of Westminster,2012
100689.27,Taylor & Francis,University of Winchester,2012
0.0,Taylor & Francis,University of Wolverhampton,2012
5864.0,Taylor & Francis,University of Worcester,2012
,Taylor & Francis,Writtle College,2012
147548.0,Taylor & Francis,University of York,2012
62727.0,Taylor & Francis,York St John University,2012
,Taylor & Francis,,2012
153489.44,Taylor & Francis,University of Aberdeen,2013
0.0,Taylor & Francis,Abertay University,2013
92189.83,Taylor & Francis,Aberystwyth University,2013
68958.0,Taylor & Francis,Anglia Ruskin University,2013
6175.09,Taylor & Francis,Arts University Bournemouth,2013
0.0,Taylor & Francis,Aston University,2013
147195.7,Taylor & Francis,Bangor University,2013
155473.0,Taylor & Francis,University of Bath,2013
0.0,Taylor & Francis,Bath Spa University,2013
93004.25,Taylor & Francis,University of Bedfordshire,2013
42004.0,Taylor & Francis,"Birkbeck, University of London",2013
231178.48,Taylor & Francis,University of Birmingham,2013
0.0,Taylor & Francis,Birmingham City University,2013
29784.0,Taylor & Francis,Bishop Grosseteste University,2013
71682.33,Taylor & Francis,University of Bolton,2013
81157.0,Taylor & Francis,Bournemouth University,2013
3157.79,Taylor & Francis,University of Bradford,2013
91470.0,Taylor & Francis,University of Brighton,2013
202023.0,Taylor & Francis,University of Bristol,2013
146497.52,Taylor & Francis,Brunel University,2013
,Taylor & Francis,Buckinghamshire New University,2013
117406.0,Taylor & Francis,University of Cambridge,2013
97226.01,Taylor & Francis,Canterbury Christ Church University,2013
168603.0,Taylor & Francis,Cardiff University,2013
84019.84,Taylor & Francis,Cardiff Metropolitan University,2013
69970.83,Taylor & Francis,University of Central Lancashire,2013
0.0,Taylor & Francis,Central School of Speech and Drama,2013
0.0,Taylor & Francis,University of Chester,2013
24418.04,Taylor & Francis,University of Chichester,2013
108871.0,Taylor & Francis,City University London,2013
0.0,Taylor & Francis,Courtauld Institute of Art,2013
29724.49,Taylor & Francis,Coventry University,2013
71249.97,Taylor & Francis,Cranfield University,2013
15758.16,Taylor & Francis,University of Cumbria,2013
48666.09,Taylor & Francis,De Montfort University,2013
,Taylor & Francis,University of Derby,2013
97037.13,Taylor & Francis,University of Dundee,2013
190942.0,Taylor & Francis,Durham University,2013
133559.0,Taylor & Francis,University of East Anglia,2013
67297.48,Taylor & Francis,University of East London,2013
,Taylor & Francis,Edge Hill University,2013
237022.0,Taylor & Francis,University of Edinburgh,2013
43299.49,Taylor & Francis,Edinburgh Napier University,2013
88546.46,Taylor & Francis,University of Essex,2013
168234.28,Taylor & Francis,University of Exeter,2013
16376.0,Taylor & Francis,Falmouth University,2013
151593.02,Taylor & Francis,University of Glasgow,2013
105255.22,Taylor & Francis,Glasgow Caledonian University,2013
1754.83,Taylor & Francis,University of Gloucestershire,2013
25898.0,Taylor & Francis,Glyndŵr University,2013
82172.66,Taylor & Francis,"Goldsmiths, University of London",2013
0.0,Taylor & Francis,University of Greenwich,2013
17846.88,Taylor & Francis,Harper Adams University,2013
51665.61,Taylor & Francis,Heriot-Watt University,2013
68872.98,Taylor & Francis,University of Hertfordshire,2013
0.0,Taylor & Francis,Heythrop College,2013
2826.31,Taylor & Francis,University of Huddersfield,2013
119118.02,Taylor & Francis,University of Hull,2013
122100.0,Taylor & Francis,Imperial College London,2013
0.0,Taylor & Francis,Institute of Cancer Research,2013
104228.0,Taylor & Francis,"Institute of Education, University of London",2013
49680.0,Taylor & Francis,Keele University,2013
19808.0,Taylor & Francis,University of Kent,2013
168875.02,Taylor & Francis,King's College London,2013
92990.88,Taylor & Francis,Kingston University,2013
98686.0,Taylor & Francis,Lancaster University,2013
,Taylor & Francis,University of Leeds,2013
601.69,Taylor & Francis,Leeds College of Art,2013
116379.21,Taylor & Francis,Leeds Beckett University (formerly Leeds Metropolitan University),2013
7983.61,Taylor & Francis,Leeds Trinity University,2013
0.0,Taylor & Francis,University of Leicester,2013
59704.0,Taylor & Francis,University of Lincoln,2013
124357.29,Taylor & Francis,University of Liverpool,2013
75184.43,Taylor & Francis,Liverpool Hope University,2013
,Taylor & Francis,Liverpool Institute for Performing Arts,2013
155138.36,Taylor & Francis,Liverpool John Moores University,2013
82597.0,Taylor & Francis,University of London (central),2013
3227.0,Taylor & Francis,London Business School,2013
,Taylor & Francis,London Metropolitan University,2013
202381.0,Taylor & Francis,London School of Economics,2013
20022.39,Taylor & Francis,London School of Hygiene and Tropical Medicine,2013
,Taylor & Francis,London South Bank University,2013
138865.0,Taylor & Francis,Loughborough University,2013
293284.28,Taylor & Francis,University of Manchester,2013
1215.9,Taylor & Francis,Manchester Metropolitan University,2013
3750.0,Taylor & Francis,Middlesex University,2013
13838.0,Taylor & Francis,Newcastle University,2013
19695.0,Taylor & Francis,Newman University,2013
43740.35,Taylor & Francis,University of Northampton,2013
162212.34,Taylor & Francis,Northumbria University,2013
0.0,Taylor & Francis,Norwich University of the Arts,2013
199675.4,Taylor & Francis,University of Nottingham,2013
,Taylor & Francis,Nottingham Trent University,2013
39339.0,Taylor & Francis,Open University,2013
108810.0,Taylor & Francis,University of Oxford,2013
206090.45,Taylor & Francis,Oxford Brookes University,2013
116376.05,Taylor & Francis,Plymouth University,2013
18487.34,Taylor & Francis,University of Portsmouth,2013
18903.96,Taylor & Francis,"Queen Margaret University, Edinburgh",2013
31039.28,Taylor & Francis,"Queen Mary, University of London",2013
202813.56,Taylor & Francis,Queen's University Belfast,2013
0.0,Taylor & Francis,Ravensbourne,2013
107023.99,Taylor & Francis,University of Reading,2013
47499.0,Taylor & Francis,Robert Gordon University,2013
78632.0,Taylor & Francis,University of Roehampton,2013
,Taylor & Francis,Rose Bruford College,2013
214.5,Taylor & Francis,Royal Academy of Music,2013
24249.44,Taylor & Francis,Royal Agricultural University,2013
0.0,Taylor & Francis,Royal College of Art,2013
,Taylor & Francis,Royal College of Music,2013
1878.0,Taylor & Francis,Royal Conservatoire of Scotland,2013
64929.0,Taylor & Francis,"Royal Holloway, University of London",2013
651.92,Taylor & Francis,Royal Northern College of Music,2013
1695.56,Taylor & Francis,Royal Veterinary College,2013
159285.13,Taylor & Francis,University of Salford,2013
20924.32,Taylor & Francis,School of Oriental and African Studies,2013
178243.07,Taylor & Francis,University of Sheffield,2013
1915.1,Taylor & Francis,Sheffield Hallam University,2013
74303.0,Taylor & Francis,University of South Wales,2013
,Taylor & Francis,University of Southampton,2013
3203.9,Taylor & Francis,Southampton Solent University,2013
4620.0,Taylor & Francis,Staffordshire University,2013
,Taylor & Francis,Stranmillis Universiity College,2013
153424.35,Taylor & Francis,University of St Andrews,2013
3680.0,Taylor & Francis,St George's University of London,2013
28123.0,Taylor & Francis,University of St Mark and St John,2013
29803.0,Taylor & Francis,St Mary's University College,2013
82477.0,Taylor & Francis,University of Stirling,2013
64634.0,Taylor & Francis,University of Strathclyde,2013
0.0,Taylor & Francis,University of Sunderland,2013
18136.0,Taylor & Francis,University of Surrey,2013
101081.0,Taylor & Francis,University of Sussex,2013
111211.16,Taylor & Francis,Swansea University,2013
49030.49,Taylor & Francis,Teesside University,2013
1044.0,Taylor & Francis,Trinity Laban,2013
231624.88,Taylor & Francis,UCL,2013
74158.0,Taylor & Francis,University College Birmingham,2013
0.0,Taylor & Francis,University for the Creative Arts,2013
1590.0,Taylor & Francis,University of the Arts London,2013
0.0,Taylor & Francis,University of the Highlands and Islands,2013
163146.0,Taylor & Francis,University of the West of England,2013
44778.0,Taylor & Francis,University of the West of Scotland,2013
156294.66,Taylor & Francis,University of Ulster,2013
83560.0,Taylor & Francis,University of Wales Trinity St David,2013
232631.0,Taylor & Francis,University of Warwick,2013
0.0,Taylor & Francis,University of West London,2013
98592.0,Taylor & Francis,University of Westminster,2013
110196.82,Taylor & Francis,University of Winchester,2013
0.0,Taylor & Francis,University of Wolverhampton,2013
10607.9,Taylor & Francis,University of Worcester,2013
,Taylor & Francis,Writtle College,2013
154789.0,Taylor & Francis,University of York,2013
67720.0,Taylor & Francis,York St John University,2013
,Taylor & Francis,,2013
158065.58,Taylor & Francis,University of Aberdeen,2014
0.0,Taylor & Francis,Abertay University,2014
99579.16,Taylor & Francis,Aberystwyth University,2014
74932.0,Taylor & Francis,Anglia Ruskin University,2014
6347.51,Taylor & Francis,Arts University Bournemouth,2014
0.0,Taylor & Francis,Aston University,2014
158362.0,Taylor & Francis,Bangor University,2014
147836.0,Taylor & Francis,University of Bath,2014
0.0,Taylor & Francis,Bath Spa University,2014
99746.43,Taylor & Francis,University of Bedfordshire,2014
51208.0,Taylor & Francis,"Birkbeck, University of London",2014
231134.66,Taylor & Francis,University of Birmingham,2014
0.0,Taylor & Francis,Birmingham City University,2014
30687.0,Taylor & Francis,Bishop Grosseteste University,2014
74446.64,Taylor & Francis,University of Bolton,2014
87419.0,Taylor & Francis,Bournemouth University,2014
3151.23,Taylor & Francis,University of Bradford,2014
100755.0,Taylor & Francis,University of Brighton,2014
233929.0,Taylor & Francis,University of Bristol,2014
149896.99,Taylor & Francis,Brunel University,2014
,Taylor & Francis,Buckinghamshire New University,2014
125463.0,Taylor & Francis,University of Cambridge,2014
103170.3,Taylor & Francis,Canterbury Christ Church University,2014
184444.0,Taylor & Francis,Cardiff University,2014
79224.43,Taylor & Francis,Cardiff Metropolitan University,2014
76096.51,Taylor & Francis,University of Central Lancashire,2014
0.0,Taylor & Francis,Central School of Speech and Drama,2014
0.0,Taylor & Francis,University of Chester,2014
27737.48,Taylor & Francis,University of Chichester,2014
112182.0,Taylor & Francis,City University London,2014
0.0,Taylor & Francis,Courtauld Institute of Art,2014
22150.91,Taylor & Francis,Coventry University,2014
71068.74,Taylor & Francis,Cranfield University,2014
10948.4,Taylor & Francis,University of Cumbria,2014
51954.34,Taylor & Francis,De Montfort University,2014
,Taylor & Francis,University of Derby,2014
102637.55,Taylor & Francis,University of Dundee,2014
211388.0,Taylor & Francis,Durham University,2014
141780.0,Taylor & Francis,University of East Anglia,2014
65700.08,Taylor & Francis,University of East London,2014
,Taylor & Francis,Edge Hill University,2014
249279.0,Taylor & Francis,University of Edinburgh,2014
42835.62,Taylor & Francis,Edinburgh Napier University,2014
99262.3,Taylor & Francis,University of Essex,2014
195773.88,Taylor & Francis,University of Exeter,2014
18263.0,Taylor & Francis,Falmouth University,2014
159016.28,Taylor & Francis,University of Glasgow,2014
128571.49,Taylor & Francis,Glasgow Caledonian University,2014
5594.03,Taylor & Francis,University of Gloucestershire,2014
28846.0,Taylor & Francis,Glyndŵr University,2014
87126.93,Taylor & Francis,"Goldsmiths, University of London",2014
0.0,Taylor & Francis,University of Greenwich,2014
17480.67,Taylor & Francis,Harper Adams University,2014
58636.04,Taylor & Francis,Heriot-Watt University,2014
77047.37,Taylor & Francis,University of Hertfordshire,2014
0.0,Taylor & Francis,Heythrop College,2014
2645.27,Taylor & Francis,University of Huddersfield,2014
133387.62,Taylor & Francis,University of Hull,2014
129836.0,Taylor & Francis,Imperial College London,2014
0.0,Taylor & Francis,Institute of Cancer Research,2014
101257.0,Taylor & Francis,"Institute of Education, University of London",2014
51671.0,Taylor & Francis,Keele University,2014
22477.0,Taylor & Francis,University of Kent,2014
175512.9,Taylor & Francis,King's College London,2014
106953.77,Taylor & Francis,Kingston University,2014
108101.0,Taylor & Francis,Lancaster University,2014
,Taylor & Francis,University of Leeds,2014
629.43,Taylor & Francis,Leeds College of Art,2014
10252.16,Taylor & Francis,Leeds Beckett University (formerly Leeds Metropolitan University),2014
11023.96,Taylor & Francis,Leeds Trinity University,2014
0.0,Taylor & Francis,University of Leicester,2014
62581.0,Taylor & Francis,University of Lincoln,2014
126218.51,Taylor & Francis,University of Liverpool,2014
76580.89,Taylor & Francis,Liverpool Hope University,2014
,Taylor & Francis,Liverpool Institute for Performing Arts,2014
160468.95,Taylor & Francis,Liverpool John Moores University,2014
85722.0,Taylor & Francis,University of London (central),2014
2614.0,Taylor & Francis,London Business School,2014
,Taylor & Francis,London Metropolitan University,2014
218288.0,Taylor & Francis,London School of Economics,2014
21199.02,Taylor & Francis,London School of Hygiene and Tropical Medicine,2014
,Taylor & Francis,London South Bank University,2014
140924.0,Taylor & Francis,Loughborough University,2014
309682.07,Taylor & Francis,University of Manchester,2014
10158.0,Taylor & Francis,Manchester Metropolitan University,2014
10920.0,Taylor & Francis,Middlesex University,2014
14370.0,Taylor & Francis,Newcastle University,2014
21687.0,Taylor & Francis,Newman University,2014
53364.36,Taylor & Francis,University of Northampton,2014
177023.02,Taylor & Francis,Northumbria University,2014
0.0,Taylor & Francis,Norwich University of the Arts,2014
214486.9,Taylor & Francis,University of Nottingham,2014
6780.0,Taylor & Francis,Nottingham Trent University,2014
2911.0,Taylor & Francis,Open University,2014
116932.0,Taylor & Francis,University of Oxford,2014
233474.97,Taylor & Francis,Oxford Brookes University,2014
119714.85,Taylor & Francis,Plymouth University,2014
3170.4,Taylor & Francis,University of Portsmouth,2014
,Taylor & Francis,"Queen Margaret University, Edinburgh",2014
48321.72,Taylor & Francis,"Queen Mary, University of London",2014
244144.62,Taylor & Francis,Queen's University Belfast,2014
0.0,Taylor & Francis,Ravensbourne,2014
118443.59,Taylor & Francis,University of Reading,2014
50738.0,Taylor & Francis,Robert Gordon University,2014
85776.0,Taylor & Francis,University of Roehampton,2014
,Taylor & Francis,Rose Bruford College,2014
224.4,Taylor & Francis,Royal Academy of Music,2014
28464.09,Taylor & Francis,Royal Agricultural University,2014
0.0,Taylor & Francis,Royal College of Art,2014
,Taylor & Francis,Royal College of Music,2014
2348.0,Taylor & Francis,Royal Conservatoire of Scotland,2014
81245.0,Taylor & Francis,"Royal Holloway, University of London",2014
682.88,Taylor & Francis,Royal Northern College of Music,2014
1804.2,Taylor & Francis,Royal Veterinary College,2014
165165.47,Taylor & Francis,University of Salford,2014
22572.67,Taylor & Francis,School of Oriental and African Studies,2014
196231.53,Taylor & Francis,University of Sheffield,2014
649.86,Taylor & Francis,Sheffield Hallam University,2014
80387.0,Taylor & Francis,University of South Wales,2014
,Taylor & Francis,University of Southampton,2014
